Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
NIGHT DANCER,NIGHT DANCER - Single,imase,2022-08-19,JPPO02202918,"1,045",46.9,239149370.0,"46,984","6,134,615",67.0,281173184.0,"3,281,196","1,132,387",226568824.0,"2,285,171,989","80,772,548",32.0,"2,272",,3.0,"10,100",2.0,"304,322",906,,"1,864,998",,0
Yoksun,Yoksun - Single,Ebru Yaï¿½ï,2024-02-02,FR2X42424385,"1,048",46.9,33174286.0,"1,658","1,193,973",,119795906.0,"342,242",,,,"1,145,002,460",9.0,"5,456",,2.0,"1,581,911",,,,,"499,594",,0
DON'T YOU WORRY,Don't You Worry,Black Eyed Peas,2022-06-16,USSM12202555,"1,044",46.9,302939117.0,"48,916","26,723,190",62.0,236850911.0,"1,744,818","86,202",6704531.0,"74,013,480","5,024,734,774",57.0,"232,177",654,51.0,"1,215,691",32.0,"1,954,271","2,652",,"4,456,945",,0
"Rowdy Baby (From ""Maari 2"")",U1 For Life,Dhanush,2020-08-26,IND291823075,"1,057",46.8,58283353.0,12,"2,710",,1558088734.0,"6,652,026",,,,"169,255,135",,,,,,5.0,344,98,,"139,710",,0
MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhï¿,2020-01-10,USRC11903813,"1,054",46.8,1104008150.0,"173,612","51,608,714",72.0,431904675.0,"4,882,117","612,500",304312367.0,"2,922,804,533","42,354,537",72.0,"88,909",,35.0,"997,273",3.0,"19,854,772","17,812",,"10,511,473",,0
Pickup Man (feat. Post Malone),HIXTAPE Vol. 3: DIFFTAPE (Small Batch),HARDY,2023-11-09,USUG12305726,"1,055",46.8,27891947.0,"11,898","5,352,704",,,,,,,,8.0,"8,698",,1.0,1,20.0,"156,941,809","31,924","345,159","96,725",,0
Volando (Remix),Volando (Remix),Mora,2021-07-08,QMFME2105596,"1,052",46.8,701919939.0,"105,247","22,304,375",68.0,560364244.0,"2,647,485","26,200",9024221.0,"74,137,126","45,891,350",85.0,"14,824",15,21.0,"301,957",22.0,"14,229,625","2,125",,"1,404,755",,0
Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2021-02-05,USUG12105524,"1,056",46.8,861100951.0,"153,435","41,139,591",74.0,95899960.0,"848,696","35,151",18345722.0,"184,453,448","2,623,975",122.0,"245,294",305,64.0,"3,075,152",47.0,"20,927,702","4,078","4,485,036","5,566,537",,0
WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),Offset,2023-10-12,USUM72313166,"1,050",46.8,48339964.0,"24,760","10,056,008",,9010442.0,"103,229",,1020812.0,"10,073,870","1,861,090",21.0,"115,298",406,3.0,"905,920",10.0,"17,202,812","2,526",,"889,320",,0
Canï¿½ï¿½ï¿½t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ,Canï¿½ï¿½ï¿½t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S,Olivia Rodrigo,2023-11-03,USUG12307028,"1,053",46.8,259807712.0,"30,605","33,315,037",,9545403.0,"163,045","73,845",85733614.0,"538,186,129",,41.0,"12,664",,40.0,"592,661",29.0,"6,040,638","5,126","1,472,596","1,027,616",,0
